"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000000001.4",605.654788498064,0.118362725953394,0.138878948356489,0.852272625578706,0.394062795802851,0.999942967225476
"ENSMUSG00000000028.15",84.1019091116332,-0.0148097478737168,0.152027002032325,-0.097415246474227,0.922396637378768,0.999942967225476
"ENSMUSG00000000031.16",20.9732957990267,-0.327494885506455,0.407551075097602,-0.803567713391568,0.421646675763058,0.999942967225476
"ENSMUSG00000000037.17",7.24318963641919,-0.169425838040973,0.303569320208697,-0.558112519158712,0.576767552359266,0.999942967225476
"ENSMUSG00000000049.11",14.8788405633147,-0.0364358501432691,0.203511658553506,-0.179035689661434,0.857909678121739,0.999942967225476
"ENSMUSG00000000056.7",1769.04278537743,-0.0441468210235192,0.0588381815788045,-0.750309065285974,0.453068584075651,0.999942967225476
"ENSMUSG00000000058.6",469.74797926225,0.179408527289118,0.274834071801647,0.652788521135766,0.513892624854716,0.999942967225476
"ENSMUSG00000000078.7",653.804835252874,0.0151364369761745,0.133152962893017,0.113677057177736,0.909493800325946,0.999942967225476
"ENSMUSG00000000085.16",1103.78466921771,-0.00425004637412416,0.0567455388506746,-0.0748965726681725,0.940297003514405,0.999942967225476
"ENSMUSG00000000088.7",10363.6679469549,0.0396881133132714,0.100961368563903,0.393101974327448,0.694244165943376,0.999942967225476
"ENSMUSG00000000093.6",24.8582303214616,0.206105036875767,0.267998677844409,0.769052439114734,0.441862180882327,0.999942967225476
"ENSMUSG00000000094.12",2.30692362434081,-0.0853286399919518,0.42003060632453,-0.203148624664803,0.839018867030177,0.999942967225476
"ENSMUSG00000000120.6",501.219249808897,-0.0936445003797322,0.230172606543969,-0.4068446796767,0.684122068808455,0.999942967225476
"ENSMUSG00000000125.5",380.239112938495,-0.11479397126709,0.21238084936944,-0.540509992345895,0.588845371788886,0.999942967225476
"ENSMUSG00000000126.11",437.417606328881,0.0626512987035296,0.278617509495325,0.224864901050237,0.822084374949504,0.999942967225476
"ENSMUSG00000000127.15",252.681127369377,-0.0805143768438242,0.104071173112432,-0.773647249626381,0.439139422393044,0.999942967225476
"ENSMUSG00000000131.15",2137.01245293132,-0.0594751844397641,0.0557041584425745,-1.06769738745945,0.285657037304693,0.999942967225476
"ENSMUSG00000000134.17",2014.51265323402,-0.0194662612520273,0.0724830316936112,-0.268563011192909,0.788265979590771,0.999942967225476
"ENSMUSG00000000142.15",555.085356904075,-0.00168500774055482,0.078409663940879,-0.0214897967401737,0.982854942606769,0.999942967225476
"ENSMUSG00000000148.17",423.421493426776,-0.0602844323179837,0.0758908938765538,-0.794356598514231,0.426987863223805,0.999942967225476
"ENSMUSG00000000149.10",3179.7564149369,0.0555583649011931,0.16414430296168,0.338472696881617,0.735006998927835,0.999942967225476
"ENSMUSG00000000154.16",18.8641073459529,-0.0207539555582542,0.295440712752768,-0.070247446145385,0.943996711007547,0.999942967225476
"ENSMUSG00000000159.16",6.30348250125515,0.176886600293919,0.383718160360504,0.460980528332913,0.644812575115032,0.999942967225476
"ENSMUSG00000000167.14",39.2989680716925,0.0432979626048646,0.177683829998952,0.243679813774388,0.807478808443172,0.999942967225476
"ENSMUSG00000000168.9",4802.99862958283,-0.0656837880529834,0.0867700420496347,-0.756986933524943,0.44905769070643,0.999942967225476
"ENSMUSG00000000171.5",4054.72658388378,-0.0107498097016653,0.0418094141202361,-0.257114574022751,0.797090327220188,0.999942967225476
"ENSMUSG00000000182.9",9.25555304573068,0.148969980752404,0.250581040804336,0.594498212132203,0.552178937735174,0.999942967225476
"ENSMUSG00000000184.12",870.273179910594,0.169147632472088,0.250477512393052,0.675300672128441,0.499484756992843,0.999942967225476
"ENSMUSG00000000194.13",2328.08270967987,-0.0424811780789104,0.0575116772959545,-0.738653088837989,0.460117678338821,0.999942967225476
"ENSMUSG00000000197.8",2541.30236782737,-0.0464083208104075,0.134134411256642,-0.345983706758242,0.729354959568286,0.999942967225476
"ENSMUSG00000000202.9",790.990806856414,0.047378610298544,0.250449409686651,0.189174374009592,0.849956151590341,0.999942967225476
"ENSMUSG00000000214.11",640.492391329405,-0.192817161229773,0.187581429930435,-1.02791177837422,0.303991328549046,0.999942967225476
"ENSMUSG00000000215.11",3.78239077631193,0.692432889651791,0.512097292021434,1.35215104715455,0.176327000064142,0.999942967225476
"ENSMUSG00000000216.8",41.2677092674423,-0.25539521605855,0.382399492348276,-0.667875405613627,0.504213127859587,0.999942967225476
"ENSMUSG00000000223.13",1297.9820560594,0.0739139092244837,0.15198360231882,0.48632818341437,0.626734500040621,0.999942967225476
"ENSMUSG00000000244.17",3.311375869633,0.177547326530436,0.429458609826212,0.413421276155772,0.679297989123872,0.999942967225476
"ENSMUSG00000000247.11",757.100863145216,0.123776841678861,0.507668108476984,0.243814491420771,0.807374496441103,0.999942967225476
"ENSMUSG00000000248.16",0.911244115526347,0.805339041185162,0.698186216253707,1.15347313143249,0.248716239641842,0.999942967225476
"ENSMUSG00000000253.13",2419.99060232597,0.0348196490059592,0.0922970669557411,0.377256289440445,0.705983152329716,0.999942967225476
"ENSMUSG00000000263.15",38.3866264289766,-0.359636524368379,0.302164744037212,-1.19020015228543,0.233967733360662,0.999942967225476
"ENSMUSG00000000266.11",680.990437698465,0.154016268434778,0.1405735199022,1.09562788597689,0.273241653030619,0.999942967225476
"ENSMUSG00000000275.16",79.9586571138124,-0.0258624923674173,0.198716673959951,-0.130147570669533,0.896449674200385,0.999942967225476
"ENSMUSG00000000276.11",2301.61096509244,-0.0110977630029793,0.0924797346709324,-0.120002106866635,0.904481478982677,0.999942967225476
"ENSMUSG00000000278.10",525.096745900665,-0.0134681613641973,0.0664351816949285,-0.202726341986138,0.839348932746036,0.999942967225476
"ENSMUSG00000000282.12",1394.06535836219,-0.0432692814679815,0.0681027140645942,-0.635353261060071,0.525198043941538,0.999942967225476
"ENSMUSG00000000290.13",86.1163951175523,0.00746443694534207,0.275609737388674,0.0270833571268764,0.978393248981002,0.999942967225476
"ENSMUSG00000000295.13",484.160931569058,0.178406630205499,0.143183684431471,1.24599831966809,0.212765012077986,0.999942967225476
"ENSMUSG00000000296.8",614.905409721783,0.0969562853124688,0.283655005173244,0.341810592248327,0.732493437743107,0.999942967225476
"ENSMUSG00000000301.16",108.885591179927,0.129626570736602,0.112743734023143,1.14974523293679,0.250248818202984,0.999942967225476
